"x","y","year","PM10","NO2"
260500,667500,2012,12.65725,23.38465
260500,667500,2013,13.11885,21.64409
260500,667500,2014,12.61716,21.0298
260500,667500,2015,11.1052,19.77581
260500,667500,2016,10.67234,20.39355
260500,667500,2017,10.46071,19.10863
261500,667500,2012,12.54214,22.06313
261500,667500,2013,13.06884,18.72266
261500,667500,2014,12.6011,20.37346
261500,667500,2015,11.04764,18.20554
261500,667500,2016,10.80321,18.48628
261500,667500,2017,10.50125,16.75967
262500,667500,2012,12.79939,21.40715
262500,667500,2013,13.1713,19.53417
262500,667500,2014,12.69811,19.8377
262500,667500,2015,11.25335,18.19827
262500,667500,2016,11.3563,19.23819
262500,667500,2017,11.13858,17.83163
263500,667500,2012,12.36979,21.41903
263500,667500,2013,12.72235,19.24924
263500,667500,2014,12.27357,19.67213
263500,667500,2015,10.85357,18.09761
263500,667500,2016,11.17103,19.28861
263500,667500,2017,10.936,18.04811
264500,667500,2012,11.0928,17.6335
264500,667500,2013,11.38937,15.72903
264500,667500,2014,10.88768,15.82598
264500,667500,2015,9.585105,14.66787
264500,667500,2016,10.00943,15.81229
264500,667500,2017,9.749001,14.44591
265500,667500,2012,10.86866,15.56457
265500,667500,2013,11.17289,13.91681
265500,667500,2014,10.68252,14.20992
265500,667500,2015,9.347991,12.8733
265500,667500,2016,9.946507,14.02115
265500,667500,2017,9.714978,12.51542
266500,667500,2012,10.60449,14.6145
266500,667500,2013,10.91156,13.12696
266500,667500,2014,10.43577,13.41962
266500,667500,2015,9.102612,11.98049
266500,667500,2016,9.644958,13.11839
266500,667500,2017,9.441542,11.57873
267500,667500,2012,10.71544,14.05666
267500,667500,2013,10.73991,12.60129
267500,667500,2014,10.23635,12.85544
267500,667500,2015,8.920407,11.5952
267500,667500,2016,9.522475,12.74562
267500,667500,2017,9.311988,11.12892
268500,667500,2012,11.0387,13.79154
268500,667500,2013,10.55829,12.27559
268500,667500,2014,10.04888,12.60269
268500,667500,2015,8.745361,11.36103
268500,667500,2016,9.362738,12.52784
268500,667500,2017,9.122079,10.70729
269500,667500,2012,11.77252,17.0902
269500,667500,2013,11.98317,15.13298
269500,667500,2014,11.58017,16.0285
269500,667500,2015,10.25927,14.59361
269500,667500,2016,10.72257,16.00547
269500,667500,2017,10.37633,13.62391
250500,666500,2012,11.89909,18.59444
250500,666500,2013,12.34879,16.45594
250500,666500,2014,12.03694,17.10196
250500,666500,2015,10.41052,15.8315
250500,666500,2016,10.6488,17.09462
250500,666500,2017,10.03909,13.92327
251500,666500,2012,13.48659,23.32381
251500,666500,2013,14.19823,21.18786
251500,666500,2014,14.05281,22.42559
251500,666500,2015,12.13208,20.3476
251500,666500,2016,12.05738,21.74189
251500,666500,2017,11.3406,18.36917
